family,syntax_doc,status,parser,typed_ast,layout,svg_render,notes
architecture,architecture,in_progress,partial,partial,partial,partial,Vertical slice supports flat groups services geometric cloud/database/server icons and explicit-port markerless or right-directed edges; junctions alignment nesting metadata styling configuration Iconify icons and full family parity are not complete.
block,block,in_progress,partial,partial,partial,partial,Bounded block/block-beta slice: columns, double-quoted rectangular labels, spans, and directed edges; unquoted bracket labels shapes nesting styling and full family parity are not complete.
c4,c4,in_progress,partial,partial,partial,partial,Vertical slice supports C4Context person/system elements with person heads stereotypes and Rel/BiRel protocol labels; boundaries other C4 levels styling configuration and full parity are not complete.
class,classDiagram,in_progress,partial,partial,partial,partial,Vertical slice supports class declarations members compartment separators and hollow UML inheritance; association styling namespaces and full family parity are not complete.
cynefin,cynefin,in_progress,partial,partial,partial,partial,Bounded cynefin-beta domains/items/transitions with official domain descriptions and deterministic measured quadrant/ellipse layout; accessibility/configuration/wavy boundaries and full family parity are not complete.
entityRelationshipDiagram,entityRelationshipDiagram,in_progress,partial,partial,partial,partial,Vertical slice supports entity declarations typed attribute columns PK/FK keys and crow's-foot cardinality; comments identifying relationships and full family parity are not complete.
eventmodeling,eventmodeling,in_progress,partial,partial,partial,partial,Bounded eventmodeling frames with five entity kinds, inferred flow, explicit multi-source relations, deterministic measured SVG; title/data/note/GWT/accessibility and full parity are not complete.
flowchart,flowchart,in_progress,partial,partial,partial,partial,Vertical slice supports the declared flowchart subset with official-neutral node fill/border and arrow markers; subgraphs styling node shapes and full family parity are not complete.
gantt,gantt,in_progress,partial,partial,partial,partial,Vertical slice supports title ISO dateFormat sections fixed-date tasks durations basic statuses and YYYY-MM-DD date-axis ticks; full family parity is not complete.
gitgraph,gitgraph,in_progress,partial,partial,partial,partial,Vertical slice supports main branch commits custom id type and tag branch checkout or switch merge commit circles highlight squares merge rings and tag flags; full family parity is not complete.
ishikawa,ishikawa,in_progress,partial,partial,partial,partial,Bounded ishikawa/ishikawa-beta indentation slice with effect plus nested causes, fish-head chrome, cause label boxes and branch markers; tabs in indentation directives configuration styling and full family parity are not complete.
kanban,kanban,in_progress,partial,partial,partial,partial,Vertical slice supports explicit columns and indented cards with per-column height, centered titles and header rules; metadata and full family parity are not complete.
mindmap,mindmap,in_progress,partial,partial,partial,partial,Bounded mindmap indentation slice with rectangle and concentric circle (( )) nodes and deterministic SVG; cloud bang hexagon icons configuration and full family parity are not complete.
packet,packet,in_progress,partial,partial,partial,partial,Vertical slice supports title explicit absolute single/range bit fields and start/end bit indexes on each block; full family parity is not complete.
pie,pie,in_progress,partial,partial,partial,partial,Vertical slice supports title accessibility text showData slice percents and bracket values; exploded slices styling and full family parity are not complete.
quadrantChart,quadrantChart,in_progress,partial,partial,partial,partial,Vertical slice supports title axes quadrant labels finite normalized points and colored quadrant fills; full family parity is not complete.
radar,radar,in_progress,partial,partial,partial,partial,Bounded radar-beta slice supporting a single title multi-entry axis declarations with quoted labels curves with per-axis values and an optional max with circular polar graticule filled curves and SVG golden; configuration ticks customization styling interactivity accessibility and full family parity are not complete.
railroad,railroad,in_progress,partial,partial,partial,partial,Bounded official railroad-beta slice: optional line-based title and named rules using sequence choice optional oneOrMore zeroOrMore terminal nonterminal special; ABNF EBNF PEG JS Diagram/Stack dialects comments styling and full family parity are not complete.
requirementDiagram,requirementDiagram,in_progress,partial,partial,partial,partial,Bounded requirementDiagram slice: requirement/element blocks, quoted ids, text/risk/verifymethod, and satisfies/verifies relationships; unquoted hyphenated ids styling and full family parity are not complete.
sankey,sankey,in_progress,partial,partial,partial,partial,Vertical slice supports acyclic positive weighted CSV links including quoted commas escaped quotes and node values on labels; configuration and full family parity are not complete.
sequenceDiagram,sequenceDiagram,in_progress,partial,partial,partial,partial,Vertical slice supports the declared sequence subset with top and bottom actor boxes and filled arrowheads; notes activations loops and full family parity are not complete.
stateDiagram,stateDiagram,in_progress,partial,partial,partial,partial,Vertical slice supports stateDiagram/stateDiagram-v2 aliases directions aliases transitions and official-neutral start/end bullets with rounded chrome; full family parity is not complete.
swimlanes,swimlanes,in_progress,partial,partial,partial,partial,Bounded swimlane-beta lanes with title rails, colored node shapes and decision diamond outlines; accessibility styling alternative edge forms and full family parity are not complete.
timeline,timeline,in_progress,partial,partial,partial,partial,Vertical slice supports a title ordered periods and one or more stacked labels per period; full family parity is not complete.
treeView,treeView,in_progress,partial,partial,partial,partial,Bounded treeView-beta indentation parser with bare/quoted labels and directory markers, official `/` root, bold directories and SVG golden; box-drawing/annotations/icons/configuration and full family parity are not complete.
treemap,treemap,in_progress,partial,partial,partial,partial,Vertical slice supports two-space hierarchy sections, finite positive weighted leaves and cell values on sections and leaves; styling configuration and full family parity are not complete.
usecase,usecase,in_progress,partial,partial,partial,partial,Vertical slice supports explicit actors, ellipse/rectangle use cases and solid associations; boundaries, UML operators and full family parity are not complete.
